Season,Name,W,L,SV,G,GS,IP,K9,BB9,HR9,BABIP,LOB,GB,HRFB,ERA,FIP,xFIP,WAR,playerid
2006,Tim Corcoran,4,9,0,16,16,83.2,5.92,4.84,0.97,0.289,0.726,0.398,0.0930 ,4.41,4.99,5.22,0.6,2351
1998,Bryan Rekar,2,8,0,15,15,85.2,5.78,2.21,1.68,0.29,0.649,,,5.04,5.09,,0.6,625
2003,Jorge Sosa,5,11,0,19,19,104,4.67,4.24,1.04,0.295,0.709,0.351,0.0860 ,4.76,4.99,5.46,0.6,1228
1998,Julio Santana,4,6,0,19,19,116.2,3.39,3.78,1.08,0.276,0.716,,,4.47,5.31,,0.6,496
2001,Ryan Rupe,5,11,0,26,26,141.2,7.75,2.92,1.91,0.295,0.648,,,5.91,5.2,,0.5,1223
2002,Victor Zambrano,4,4,0,11,11,65.1,5.79,4.55,0.96,0.304,0.714,0.491,0.0990 ,4.27,4.68,4.79,0.5,1237
1999,Bryan Rekar,5,5,0,12,12,63,4.43,3,1.29,0.348,0.654,,,6,5.24,,0.5,625
2004,Scott Kazmir,2,3,0,7,7,30.1,10.98,5.34,1.19,0.351,0.661,0.407,0.1140 ,5.93,4.3,4.23,0.5,4897
2000,Esteban Yan,5,7,0,20,20,107.2,6.44,2.84,1.92,0.307,0.644,,,6.6,5.65,,0.5,1236
2004,Jorge Sosa,2,4,0,8,8,47.2,7.74,3.78,1.51,0.291,0.657,0.331,0.1080 ,4.91,4.77,4.79,0.5,1228
2014,Alex Colome,2,0,0,3,3,18.2,6.27,2.89,0,0.231,0.944,0.385,0.0000 ,0.48,2.7,4.03,0.5,6661
2004,Victor Zambrano,9,7,0,22,22,127,7.65,6.73,0.92,0.267,0.751,0.446,0.1020 ,4.46,5.3,5.39,0.5,1237
2013,Roberto Hernandez,6,13,0,24,24,142.2,6.62,2.08,1.45,0.314,0.699,0.53,0.2110 ,4.98,4.6,3.54,0.5,3273
2003,Doug Waechter,2,2,0,5,5,33,7.09,3.55,1.09,0.253,0.791,0.284,0.0780 ,3.55,4.3,4.98,0.4,1814
2000,Cory Lidle,4,4,0,11,11,56.2,5.24,3.02,1.59,0.289,0.614,,,5.56,5.32,,0.4,926
2006,Casey Fossum,6,6,0,25,25,130,6.09,4.36,1.25,0.286,0.657,0.459,0.1290 ,5.33,5.32,5.03,0.4,188
2006,Brian Stokes,1,0,0,4,4,21.1,5.06,2.95,0.84,0.329,0.828,0.427,0.0610 ,3.38,4.22,5.18,0.4,8653
2011,Matt Moore,1,0,0,1,1,5,19.8,1.8,0,0.5,1,0.25,0.0000 ,0,-0.77,-0.27,0.4,1890
2007,J.P. Howell,1,6,0,10,10,51,8.65,3.71,1.41,0.374,0.587,0.461,0.1540 ,7.59,4.77,4.01,0.4,8245
2000,Dave Eiland,1,3,0,10,10,40.1,2.9,2.68,1.12,0.325,0.594,,,6.92,5.22,,0.4,1003714
2015,Matt Andriese,2,2,0,8,8,35.1,5.86,2.29,1.02,0.286,0.743,0.474,0.0980 ,3.57,4.15,4.39,0.4,12022
2015,Alex Colome,3,4,0,13,13,69,5.74,3.13,1.17,0.296,0.726,0.407,0.1170 ,4.7,4.64,4.59,0.4,6661
2014,Jeremy Hellickson,1,5,0,13,13,63.2,7.63,2.97,1.13,0.321,0.713,0.365,0.0960 ,4.52,4.15,4.13,0.4,4371
2006,Doug Waechter,1,4,0,10,10,51,3.88,3.35,1.06,0.312,0.608,0.337,0.0710 ,6.88,5.23,6.01,0.3,1814
2007,Jason Hammel,2,5,0,14,14,67.1,6.15,3.61,1.34,0.322,0.66,0.405,0.1040 ,6.15,5.1,4.95,0.3,4538
